"Date","Price","Open","High","Low","Change %"
"Mar 08, 2021","0.323","0.323","0.323","0.315","0.00%"
"Mar 07, 2021","0.323","0.325","0.325","0.323","3.43%"
"Mar 05, 2021","0.312","0.314","0.336","0.293","1.93%"
"Mar 04, 2021","0.306","0.292","0.311","0.277","5.55%"
"Mar 03, 2021","0.290","0.250","0.295","0.250","16.05%"
"Mar 02, 2021","0.250","0.258","0.268","0.247","-0.99%"
"Mar 01, 2021","0.252","0.268","0.284","0.250","-5.89%"
"Feb 28, 2021","0.268","0.279","0.279","0.268","-4.73%"
"Feb 26, 2021","0.281","0.353","0.361","0.263","-20.80%"
"Feb 25, 2021","0.355","0.238","0.390","0.238","48.97%"
"Feb 24, 2021","0.238","0.215","0.249","0.209","11.14%"
"Feb 23, 2021","0.215","0.228","0.228","0.212","-5.75%"
"Feb 22, 2021","0.228","0.220","0.228","0.212","3.64%"
"Feb 21, 2021","0.220","0.220","0.220","0.220","2.47%"
"Feb 19, 2021","0.214","0.206","0.217","0.201","3.93%"
"Feb 18, 2021","0.206","0.206","0.214","0.201","-1.24%"
"Feb 17, 2021","0.209","0.230","0.240","0.206","-9.09%"
"Feb 16, 2021","0.230","0.206","0.232","0.198","10.11%"
"Feb 15, 2021","0.209","0.206","0.209","0.206","6.70%"
"Feb 12, 2021","0.196","0.188","0.198","0.185","4.15%"
"Feb 11, 2021","0.188","0.185","0.190","0.180","1.46%"
"Feb 10, 2021","0.185","0.201","0.201","0.183","-0.80%"
"Feb 09, 2021","0.187","0.189","0.189","0.184","-1.37%"
"Feb 08, 2021","0.189","0.184","0.192","0.181","2.94%"
"Feb 07, 2021","0.184","0.184","0.184","0.184","1.49%"
"Feb 05, 2021","0.181","0.186","0.194","0.176","-2.79%"
"Feb 04, 2021","0.186","0.189","0.194","0.186","-1.38%"
"Feb 03, 2021","0.189","0.181","0.191","0.178","6.00%"
"Feb 02, 2021","0.178","0.178","0.184","0.170","3.13%"
"Feb 01, 2021","0.173","0.173","0.176","0.170","0.00%"
"Jan 31, 2021","0.173","0.175","0.175","0.173","-1.48%"
"Jan 29, 2021","0.175","0.186","0.191","0.173","-5.65%"
"Jan 28, 2021","0.186","0.183","0.194","0.175","4.50%"
"Jan 27, 2021","0.178","0.183","0.183","0.167","0.00%"
"Jan 26, 2021","0.178","0.178","0.183","0.175","0.00%"
"Jan 25, 2021","0.178","0.191","0.191","0.175","-5.58%"
"Jan 24, 2021","0.188","0.191","0.191","0.188","0.00%"
"Jan 22, 2021","0.188","0.188","0.194","0.186","-1.26%"
"Jan 21, 2021","0.191","0.199","0.204","0.188","-1.35%"
"Jan 20, 2021","0.193","0.204","0.209","0.193","-3.88%"
"Jan 19, 2021","0.201","0.214","0.220","0.199","-4.96%"
"Jan 18, 2021","0.212","0.212","0.212","0.212","2.57%"
"Jan 15, 2021","0.206","0.216","0.222","0.206","-8.07%"
"Jan 14, 2021","0.224","0.222","0.235","0.214","0.00%"
"Jan 13, 2021","0.224","0.230","0.240","0.219","-3.36%"
"Jan 12, 2021","0.232","0.237","0.250","0.232","3.52%"
"Jan 11, 2021","0.224","0.222","0.227","0.211","0.00%"
"Jan 10, 2021","0.224","0.224","0.224","0.224","0.00%"
"Jan 08, 2021","0.224","0.216","0.229","0.211","5.16%"
"Jan 07, 2021","0.213","0.202","0.216","0.200","5.34%"
"Jan 06, 2021","0.202","0.173","0.216","0.170","16.99%"
"Jan 05, 2021","0.173","0.168","0.173","0.157","6.59%"
"Jan 04, 2021","0.162","0.173","0.176","0.160","-4.64%"
"Jan 03, 2021","0.170","0.170","0.170","0.170","1.55%"
"Dec 31, 2020","0.168","0.168","0.170","0.165","0.00%"
"Dec 30, 2020","0.167","0.173","0.181","0.167","-3.07%"
"Dec 29, 2020","0.173","0.173","0.175","0.167","3.23%"
"Dec 28, 2020","0.167","0.175","0.186","0.167","-3.07%"
"Dec 27, 2020","0.173","0.167","0.173","0.167","3.17%"
"Dec 24, 2020","0.167","0.172","0.173","0.167","-2.96%"
"Dec 23, 2020","0.172","0.170","0.180","0.164","1.59%"
"Dec 22, 2020","0.170","0.180","0.180","0.167","-5.83%"
"Dec 21, 2020","0.180","0.177","0.183","0.159","1.52%"
"Dec 20, 2020","0.177","0.177","0.177","0.177","-1.50%"
"Dec 18, 2020","0.180","0.185","0.185","0.177","-2.75%"
"Dec 17, 2020","0.185","0.175","0.193","0.169","4.51%"
"Dec 16, 2020","0.177","0.172","0.188","0.169","1.49%"
"Dec 15, 2020","0.175","0.175","0.180","0.169","0.00%"
"Dec 14, 2020","0.175","0.183","0.190","0.169","-1.47%"
"Dec 11, 2020","0.177","0.196","0.196","0.169","-9.36%"
"Dec 10, 2020","0.196","0.211","0.211","0.193","-9.70%"
"Dec 09, 2020","0.216","0.216","0.219","0.214","5.82%"
"Dec 08, 2020","0.205","0.202","0.207","0.194","2.66%"
"Dec 07, 2020","0.199","0.213","0.213","0.199","-7.43%"
"Dec 04, 2020","0.215","0.205","0.221","0.199","6.53%"
"Dec 03, 2020","0.202","0.215","0.218","0.202","-6.17%"
"Dec 02, 2020","0.215","0.218","0.226","0.210","-2.45%"
"Dec 01, 2020","0.221","0.192","0.226","0.186","16.83%"
"Nov 30, 2020","0.189","0.200","0.202","0.184","-5.36%"
"Nov 29, 2020","0.200","0.197","0.200","0.197","1.37%"
"Nov 27, 2020","0.197","0.205","0.205","0.194","-3.95%"
"Nov 26, 2020","0.205","0.208","0.208","0.205","-1.25%"
"Nov 25, 2020","0.208","0.218","0.221","0.200","-4.86%"
"Nov 24, 2020","0.218","0.221","0.221","0.210","0.00%"
"Nov 23, 2020","0.218","0.250","0.250","0.195","5.05%"
"Nov 22, 2020","0.208","0.208","0.208","0.208","0.00%"
"Nov 20, 2020","0.208","0.216","0.219","0.208","-5.97%"
"Nov 19, 2020","0.221","0.224","0.226","0.219","-3.45%"
"Nov 18, 2020","0.229","0.221","0.234","0.219","2.32%"
"Nov 17, 2020","0.224","0.234","0.237","0.221","-4.48%"
"Nov 16, 2020","0.234","0.237","0.242","0.224","-1.10%"
"Nov 15, 2020","0.237","0.237","0.237","0.237","0.00%"
"Nov 13, 2020","0.237","0.232","0.237","0.221","2.24%"
"Nov 12, 2020","0.232","0.253","0.253","0.229","-10.12%"
"Nov 11, 2020","0.258","0.258","0.258","0.258","2.06%"
"Nov 10, 2020","0.253","0.250","0.258","0.240","7.58%"
"Nov 09, 2020","0.235","0.203","0.256","0.195","14.42%"
"Nov 08, 2020","0.205","0.208","0.208","0.205","1.28%"
"Nov 06, 2020","0.203","0.184","0.211","0.184","7.20%"
"Nov 05, 2020","0.189","0.181","0.197","0.176","1.45%"
"Nov 04, 2020","0.186","0.223","0.223","0.170","-12.49%"
"Nov 03, 2020","0.213","0.218","0.218","0.199","6.77%"
