"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","12,260","12,630","12,675","12,190","696.50K","-2.54%"
"Feb 23, 2021","12,580","12,655","12,740","12,540","560.29K","-0.87%"
"Feb 22, 2021","12,690","13,100","13,140","12,675","424.87K","-3.13%"
"Feb 19, 2021","13,100","12,995","13,100","12,780","633.50K","0.85%"
"Feb 18, 2021","12,990","13,445","13,445","12,940","809.76K","-2.40%"
"Feb 17, 2021","13,310","13,330","13,330","13,230","377.67K","0.49%"
"Feb 16, 2021","13,245","13,250","13,300","13,190","482.77K","0.42%"
"Feb 15, 2021","13,190","13,115","13,295","13,115","260.55K","0.61%"
"Feb 10, 2021","13,110","12,990","13,110","12,920","1.91M","1.55%"
"Feb 09, 2021","12,910","12,725","12,920","12,665","1.27M","1.97%"
"Feb 08, 2021","12,660","12,490","12,705","12,405","939.84K","1.28%"
"Feb 05, 2021","12,500","12,395","12,600","12,395","689.24K","0.97%"
"Feb 04, 2021","12,380","12,465","12,480","12,200","797.06K","-0.72%"
"Feb 03, 2021","12,470","12,470","12,530","12,400","579.80K","0.08%"
"Feb 02, 2021","12,460","12,340","12,480","12,270","631.96K","1.01%"
"Feb 01, 2021","12,335","11,920","12,350","11,920","1.20M","3.66%"
"Jan 29, 2021","11,900","12,205","12,285","11,900","1.85M","-2.30%"
"Jan 28, 2021","12,180","12,260","12,310","12,115","1.29M","-1.54%"
"Jan 27, 2021","12,370","12,440","12,480","12,285","1.37M","-0.48%"
"Jan 26, 2021","12,430","12,685","12,685","12,395","879.04K","-1.89%"
"Jan 25, 2021","12,670","12,500","12,735","12,500","837.96K","1.08%"
"Jan 22, 2021","12,535","12,550","12,550","12,405","692.56K","0.44%"
"Jan 21, 2021","12,480","12,355","12,550","12,275","660.74K","1.67%"
"Jan 20, 2021","12,275","12,205","12,295","12,155","551.69K","1.15%"
"Jan 19, 2021","12,135","12,685","12,685","12,120","1.30M","-3.11%"
"Jan 18, 2021","12,525","12,200","12,675","12,170","712.46K","2.54%"
"Jan 15, 2021","12,215","12,350","12,360","12,055","1.04M","-0.65%"
"Jan 14, 2021","12,295","12,530","12,675","12,295","851.94K","-1.88%"
"Jan 13, 2021","12,530","12,640","12,705","12,200","983.66K","-0.04%"
"Jan 12, 2021","12,535","12,080","12,540","12,035","1.01M","3.60%"
"Jan 11, 2021","12,100","12,135","12,345","12,050","819.27K","-0.17%"
"Jan 08, 2021","12,120","12,200","12,325","12,100","790.64K","0.58%"
"Jan 07, 2021","12,050","11,970","12,190","11,960","1.09M","0.92%"
"Jan 06, 2021","11,940","11,930","12,075","11,835","1.74M","0.93%"
"Jan 05, 2021","11,830","11,595","11,845","11,550","941.68K","1.89%"
"Jan 04, 2021","11,610","11,385","11,690","11,360","1.42M","3.57%"
"Dec 30, 2020","11,210","11,195","11,360","11,130","565.72K","0.45%"
"Dec 29, 2020","11,160","11,390","11,390","11,115","279.39K","-2.19%"
