"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","12,350","12,265","12,475","12,265","20.02K","-0.24%"
"Feb 23, 2021","12,380","12,400","12,440","12,255","17.88K","-0.20%"
"Feb 22, 2021","12,405","12,410","12,500","12,405","39.95K","0.00%"
"Feb 19, 2021","12,405","12,390","12,415","12,355","12.00K","-0.48%"
"Feb 18, 2021","12,465","12,420","12,475","12,420","38.37K","-0.16%"
"Feb 17, 2021","12,485","12,530","12,550","12,475","40.15K","-0.04%"
"Feb 15, 2021","12,490","12,405","12,505","12,405","23.42K","1.17%"
"Feb 10, 2021","12,345","12,380","12,385","12,305","25.53K","-0.08%"
"Feb 09, 2021","12,355","12,360","12,360","12,315","35.24K","0.24%"
"Feb 08, 2021","12,325","12,245","12,405","12,245","25.75K","0.74%"
"Feb 05, 2021","12,235","12,220","12,265","12,220","17.37K","1.20%"
"Feb 04, 2021","12,090","12,015","12,170","12,015","21.76K","-0.25%"
"Feb 03, 2021","12,120","12,065","12,140","12,065","17.73K","2.06%"
"Feb 02, 2021","11,875","11,720","11,930","11,720","19.59K","1.32%"
"Feb 01, 2021","11,720","11,695","11,770","11,650","37.83K","-1.97%"
"Jan 29, 2021","11,955","11,875","11,975","11,765","33.28K","0.67%"
"Jan 28, 2021","11,875","11,800","11,890","11,655","27.51K","-1.78%"
"Jan 27, 2021","12,090","12,065","12,125","12,065","27.88K","0.88%"
"Jan 26, 2021","11,985","12,015","12,015","11,940","46.37K","-1.60%"
"Jan 25, 2021","12,180","12,175","12,250","12,110","30.23K","0.04%"
"Jan 22, 2021","12,175","12,190","12,190","12,125","20.27K","-0.37%"
"Jan 21, 2021","12,220","12,205","12,270","12,185","24.02K","0.95%"
"Jan 20, 2021","12,105","12,480","12,480","12,060","27.17K","-0.70%"
"Jan 19, 2021","12,190","12,095","12,205","12,095","19.76K","0.83%"
"Jan 18, 2021","12,090","12,205","12,205","12,055","17.67K","-0.94%"
"Jan 15, 2021","12,205","12,210","12,260","12,175","8.22K","0.41%"
"Jan 14, 2021","12,155","12,205","12,205","12,150","43.09K","-0.08%"
"Jan 13, 2021","12,165","12,230","12,230","12,135","55.92K","-0.41%"
"Jan 12, 2021","12,215","12,025","12,235","12,025","43.86K","-0.45%"
"Jan 11, 2021","12,270","12,400","12,400","12,250","71.90K","-0.45%"
"Jan 08, 2021","12,325","12,225","12,335","12,170","100.85K","0.82%"
"Jan 07, 2021","12,225","12,180","12,225","12,115","60.65K","1.88%"
"Jan 06, 2021","12,000","12,000","12,000","11,915","72.03K","0.00%"
"Jan 05, 2021","12,000","12,075","12,075","11,970","86.63K","-0.83%"
"Jan 04, 2021","12,100","12,170","12,170","11,895","113.14K","-0.58%"
"Dec 30, 2020","12,170","12,030","12,170","12,005","31.44K","0.83%"
"Dec 29, 2020","12,070","12,035","12,075","12,010","16.72K","0.29%"
"Dec 28, 2020","12,035","11,970","12,075","11,900","47.17K","1.05%"
"Dec 24, 2020","11,910","11,940","11,985","11,855","24.57K","0.72%"
"Dec 23, 2020","11,825","11,745","11,825","11,700","102.45K","2.16%"
"Dec 22, 2020","11,575","11,695","11,720","11,570","28.83K","-1.61%"
"Dec 21, 2020","11,765","11,940","11,940","11,740","56.17K","-1.47%"
"Dec 18, 2020","11,940","11,995","11,995","11,905","20.80K","0.00%"
"Dec 17, 2020","11,940","11,885","11,950","11,885","15.48K","0.46%"
"Dec 16, 2020","11,885","11,845","11,920","11,830","16.71K","1.15%"
"Dec 15, 2020","11,750","11,695","11,815","11,695","34.96K","-0.42%"
"Dec 14, 2020","11,800","11,800","11,810","11,685","21.30K","0.00%"
"Dec 11, 2020","11,800","11,840","11,860","11,795","16.24K","-0.34%"
"Dec 10, 2020","11,840","11,875","11,880","11,820","22.12K","-0.38%"
"Dec 09, 2020","11,885","11,855","11,920","11,845","20.39K","0.08%"
"Dec 08, 2020","11,875","11,900","11,900","11,820","16.83K","-0.04%"
"Dec 07, 2020","11,880","11,925","11,935","11,835","14.15K","0.59%"
"Dec 04, 2020","11,810","11,845","11,850","11,790","20.84K","-0.55%"
"Dec 03, 2020","11,875","11,815","11,880","11,815","34.72K","0.51%"
"Dec 02, 2020","11,815","11,950","11,950","11,810","12.91K","0.08%"
"Dec 01, 2020","11,805","11,825","11,825","11,705","33.98K","-1.50%"
"Nov 30, 2020","11,985","11,870","11,985","11,785","22.80K","1.57%"
"Nov 27, 2020","11,800","11,810","11,815","11,750","22.39K","0.08%"
"Nov 26, 2020","11,790","11,845","11,845","11,790","24.23K","-0.08%"
"Nov 25, 2020","11,800","11,785","11,865","11,785","38.28K","0.90%"
"Nov 24, 2020","11,695","11,720","11,720","11,660","26.98K","-0.04%"
"Nov 23, 2020","11,700","11,595","11,720","11,595","45.82K","0.91%"
"Nov 20, 2020","11,595","11,695","11,695","11,590","12.63K","0.00%"
"Nov 19, 2020","11,595","11,600","11,700","11,580","22.16K","-0.17%"
"Nov 18, 2020","11,615","11,620","11,675","11,590","52.27K","-0.30%"
"Nov 17, 2020","11,650","11,620","11,680","11,550","24.68K","0.52%"
"Nov 16, 2020","11,590","11,540","11,595","11,515","33.70K","0.65%"
"Nov 13, 2020","11,515","11,550","11,550","11,350","46.37K","-0.52%"
"Nov 12, 2020","11,575","11,465","11,680","11,465","84.20K","0.52%"
"Nov 11, 2020","11,515","11,430","11,575","11,405","55.41K","1.14%"
"Nov 10, 2020","11,385","11,360","11,430","11,180","60.64K","4.12%"
"Nov 09, 2020","10,935","10,800","10,975","10,800","15.84K","1.82%"
"Nov 06, 2020","10,740","10,755","10,795","10,715","10.09K","0.61%"
"Nov 05, 2020","10,675","10,520","10,695","10,520","28.53K","2.40%"
"Nov 04, 2020","10,425","10,455","10,520","10,345","18.03K","1.46%"
"Nov 03, 2020","10,275","10,170","10,290","10,145","89.08K","3.16%"
"Nov 02, 2020","9,960","9,955","9,985","9,925","16.94K","0.35%"
"Oct 30, 2020","9,925","9,960","9,990","9,855","21.20K","-1.68%"
"Oct 29, 2020","10,095","10,040","10,095","9,970","18.78K","-1.66%"
"Oct 28, 2020","10,265","10,310","10,310","10,190","23.13K","-2.19%"
"Oct 27, 2020","10,495","10,595","10,595","10,425","9.96K","-1.69%"
"Oct 26, 2020","10,675","10,770","10,770","10,675","5.31K","0.09%"
"Oct 23, 2020","10,665","10,730","10,730","10,650","15.26K","0.05%"
"Oct 22, 2020","10,660","10,670","10,685","10,630","22.62K","-1.80%"
"Oct 21, 2020","10,855","10,830","10,870","10,805","10.25K","0.32%"
"Oct 20, 2020","10,820","10,810","10,875","10,810","7.88K","-1.05%"
