"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","12,225","12,190","12,230","12,190","2.64K","0.08%"
"Feb 23, 2021","12,215","12,195","12,235","12,190","1.13K","-0.29%"
"Feb 22, 2021","12,250","12,200","12,270","12,195","0.84K","0.08%"
"Feb 19, 2021","12,240","12,305","12,305","12,195","1.77K","-0.12%"
"Feb 18, 2021","12,255","12,195","12,300","12,195","1.58K","0.08%"
"Feb 17, 2021","12,245","12,295","12,295","12,200","0.78K","0.16%"
"Feb 16, 2021","12,225","12,330","12,330","12,195","1.49K","-0.12%"
"Feb 15, 2021","12,240","12,340","12,340","12,190","1.58K","0.12%"
"Feb 10, 2021","12,225","12,310","12,310","12,190","1.39K","0.00%"
"Feb 09, 2021","12,225","12,180","12,230","12,180","0.78K","0.20%"
"Feb 08, 2021","12,200","12,325","12,325","12,175","1.78K","-0.53%"
"Feb 05, 2021","12,265","12,175","12,265","12,170","4.18K","0.41%"
"Feb 04, 2021","12,215","12,145","12,245","12,145","0.33K","-0.16%"
"Feb 03, 2021","12,235","12,220","12,235","12,135","1.34K","0.62%"
"Feb 02, 2021","12,160","12,135","12,165","12,105","1.73K","0.12%"
"Feb 01, 2021","12,145","12,105","12,155","12,095","21.46K","0.33%"
"Jan 29, 2021","12,105","12,265","12,265","12,105","4.50K","-0.41%"
"Jan 28, 2021","12,155","12,105","12,160","12,105","0.26K","-0.37%"
"Jan 27, 2021","12,200","12,220","12,220","12,115","2.83K","-0.08%"
"Jan 26, 2021","12,210","12,260","12,260","12,110","1.71K","-0.12%"
"Jan 25, 2021","12,225","12,155","12,230","12,155","29.77K","-0.04%"
"Jan 22, 2021","12,230","12,215","12,230","12,125","1.09K","0.33%"
"Jan 21, 2021","12,190","12,190","12,200","12,125","0.99K","0.00%"
"Jan 20, 2021","12,190","12,180","12,190","12,120","0.50K","0.16%"
"Jan 19, 2021","12,170","12,165","12,175","12,100","1.20K","0.04%"
"Jan 18, 2021","12,165","12,115","12,165","12,100","3.82K","-0.12%"
"Jan 15, 2021","12,180","12,105","12,225","12,100","12.10K","0.54%"
"Jan 14, 2021","12,115","12,095","12,125","12,085","2.45K","0.08%"
"Jan 13, 2021","12,105","12,070","12,125","12,060","3.60K","0.33%"
"Jan 12, 2021","12,065","12,140","12,150","12,065","3.60K","-0.62%"
"Jan 11, 2021","12,140","12,070","12,150","12,070","2.14K","-0.04%"
"Jan 08, 2021","12,145","12,155","12,155","12,070","3.48K","0.08%"
