"Date","Price","Open","High","Low","Change %"
"Mar 05, 2021","10.4088","10.4749","10.5357","10.3926","-0.61%"
"Mar 04, 2021","10.4730","10.5327","10.5821","10.4409","-0.46%"
"Mar 03, 2021","10.5219","10.5478","10.5568","10.4399","-0.22%"
"Mar 02, 2021","10.5447","10.4302","10.5645","10.3132","1.12%"
"Mar 01, 2021","10.4274","10.5549","10.5761","10.4235","-1.09%"
"Feb 26, 2021","10.5421","10.5387","10.6280","10.5163","0.11%"
"Feb 25, 2021","10.5306","10.4608","10.5582","10.4318","0.71%"
"Feb 24, 2021","10.4568","10.5490","10.5614","10.4487","-0.86%"
"Feb 23, 2021","10.5476","10.5885","10.6110","10.5364","-0.28%"
"Feb 22, 2021","10.5775","10.4921","10.5975","10.4529","1.02%"
"Feb 19, 2021","10.4710","10.4763","10.5150","10.4506","-0.02%"
"Feb 18, 2021","10.4736","10.4510","10.5047","10.4219","0.29%"
"Feb 17, 2021","10.4431","10.4449","10.4834","10.4186","0.08%"
"Feb 16, 2021","10.4345","10.4608","10.4839","10.3958","-0.15%"
"Feb 15, 2021","10.4499","10.5183","10.5337","10.4452","-0.52%"
"Feb 12, 2021","10.5049","10.5295","10.5452","10.5064","-0.16%"
"Feb 11, 2021","10.5214","10.5792","10.5927","10.5189","-0.44%"
"Feb 10, 2021","10.5676","10.6230","10.6437","10.5418","-0.50%"
"Feb 09, 2021","10.6203","10.6182","10.6670","10.5998","0.18%"
"Feb 08, 2021","10.6016","10.6064","10.6417","10.5899","0.05%"
"Feb 05, 2021","10.5965","10.6144","10.6874","10.5849","-0.13%"
"Feb 04, 2021","10.6101","10.6031","10.6564","10.5923","0.09%"
"Feb 03, 2021","10.6003","10.6254","10.6408","10.5851","-0.21%"
"Feb 02, 2021","10.6226","10.6500","10.6740","10.6060","-0.16%"
"Feb 01, 2021","10.6395","10.6848","10.7077","10.6378","-0.32%"
"Jan 29, 2021","10.6737","10.6802","10.7366","10.6262","0.01%"
"Jan 28, 2021","10.6727","10.6472","10.7486","10.6347","0.26%"
"Jan 27, 2021","10.6452","10.6356","10.6714","10.6224","0.19%"
"Jan 26, 2021","10.6245","10.6283","10.6788","10.6079","-0.01%"
"Jan 25, 2021","10.6252","10.6511","10.6575","10.6052","-0.23%"
"Jan 22, 2021","10.6494","10.6293","10.6816","10.6160","0.31%"
"Jan 21, 2021","10.6160","10.5983","10.6514","10.5889","0.28%"
"Jan 20, 2021","10.5866","10.6100","10.6414","10.5801","-0.14%"
"Jan 19, 2021","10.6010","10.6483","10.6582","10.5745","-0.29%"
"Jan 18, 2021","10.6318","10.6420","10.6805","10.6213","0.12%"
"Jan 15, 2021","10.6186","10.5586","10.6492","10.5460","0.60%"
"Jan 14, 2021","10.5556","10.5725","10.6088","10.5251","-0.05%"
"Jan 13, 2021","10.5614","10.5499","10.5885","10.5286","0.13%"
"Jan 12, 2021","10.5472","10.5250","10.5800","10.5177","0.24%"
"Jan 11, 2021","10.5220","10.5203","10.5668","10.4976","0.09%"
"Jan 08, 2021","10.5130","10.5446","10.5742","10.4804","-0.25%"
"Jan 07, 2021","10.5392","10.5578","10.5760","10.5127","-0.15%"
"Jan 06, 2021","10.5553","10.5846","10.6024","10.5073","-0.19%"
"Jan 05, 2021","10.5755","10.5381","10.6032","10.4957","0.39%"
"Jan 04, 2021","10.5340","10.5232","10.5599","10.4871","0.23%"
"Jan 01, 2021","10.5099","10.5149","10.5238","10.5144","0.08%"
"Dec 31, 2020","10.5013","10.5483","10.5822","10.4990","-0.36%"
"Dec 30, 2020","10.5390","10.5428","10.5696","10.4965","0.07%"
"Dec 29, 2020","10.5316","10.5716","10.5917","10.5159","-0.21%"
"Dec 28, 2020","10.5539","10.6293","10.6663","10.5571","-0.60%"
"Dec 25, 2020","10.6180","10.6389","10.6482","10.6140","-0.08%"
"Dec 24, 2020","10.6270","10.6877","10.6957","10.6222","-0.53%"
"Dec 23, 2020","10.6840","10.7091","10.7306","10.6603","-0.20%"
"Dec 22, 2020","10.7054","10.6893","10.7365","10.6642","0.33%"
"Dec 21, 2020","10.6702","10.6358","10.7303","10.6164","0.30%"
"Dec 18, 2020","10.6386","10.6096","10.6533","10.5791","0.38%"
"Dec 17, 2020","10.5984","10.5717","10.6400","10.5484","0.43%"
"Dec 16, 2020","10.5532","10.5093","10.5939","10.4961","0.44%"
"Dec 15, 2020","10.5066","10.5082","10.5578","10.4795","0.02%"
"Dec 14, 2020","10.5042","10.4975","10.5479","10.4687","0.11%"
"Dec 11, 2020","10.4928","10.4336","10.5243","10.4197","0.75%"
"Dec 10, 2020","10.4149","10.4330","10.4555","10.3811","-0.08%"
"Dec 09, 2020","10.4229","10.4237","10.4448","10.3781","0.09%"
"Dec 08, 2020","10.4133","10.4206","10.4447","10.4045","0.01%"
"Dec 07, 2020","10.4126","10.4083","10.4413","10.3774","0.08%"
"Dec 04, 2020","10.4039","10.5182","10.5337","10.3938","-1.06%"
"Dec 03, 2020","10.5149","10.5364","10.5477","10.4578","-0.17%"
"Dec 02, 2020","10.5326","10.6037","10.6168","10.5183","-0.60%"
"Dec 01, 2020","10.5964","10.6422","10.6475","10.5871","-0.37%"
"Nov 30, 2020","10.6359","10.6195","10.6666","10.6006","0.28%"
"Nov 27, 2020","10.6063","10.6079","10.6362","10.5935","0.05%"
"Nov 26, 2020","10.6009","10.5905","10.6358","10.5721","0.12%"
"Nov 25, 2020","10.5878","10.6347","10.6416","10.5739","-0.38%"
"Nov 24, 2020","10.6284","10.6548","10.6597","10.6060","-0.19%"
"Nov 23, 2020","10.6485","10.7400","10.7526","10.6462","-0.81%"
"Nov 20, 2020","10.7351","10.7393","10.7726","10.7128","0.02%"
"Nov 19, 2020","10.7334","10.6574","10.7677","10.6489","0.77%"
"Nov 18, 2020","10.6516","10.6126","10.6767","10.6012","0.43%"
"Nov 17, 2020","10.6062","10.5872","10.6369","10.5653","0.20%"
"Nov 16, 2020","10.5846","10.5639","10.6236","10.5282","0.01%"
"Nov 13, 2020","10.5840","10.6056","10.6475","10.5541","-0.18%"
"Nov 12, 2020","10.6036","10.5520","10.6243","10.5371","0.51%"
"Nov 11, 2020","10.5500","10.6091","10.6237","10.5273","-0.52%"
"Nov 10, 2020","10.6054","10.6235","10.6606","10.5792","-0.13%"
"Nov 09, 2020","10.6193","10.8559","10.8728","10.5775","-2.10%"
"Nov 06, 2020","10.8474","10.8555","10.8935","10.8040","0.00%"
"Nov 05, 2020","10.8470","10.8004","10.8721","10.7708","0.57%"
"Nov 04, 2020","10.7857","10.8287","10.9096","10.7612","-0.37%"
"Nov 03, 2020","10.8260","10.8219","10.8614","10.7913","0.09%"
"Nov 02, 2020","10.8168","10.8689","10.8773","10.8069","-0.38%"
"Oct 30, 2020","10.8578","10.8059","10.8945","10.7843","0.54%"
"Oct 29, 2020","10.7995","10.8820","10.9087","10.8019","-0.73%"
"Oct 28, 2020","10.8793","10.8142","10.9188","10.7866","0.63%"
"Oct 27, 2020","10.8110","10.8027","10.8201","10.7415","0.09%"
"Oct 26, 2020","10.8016","10.7733","10.8180","10.7458","0.28%"
"Oct 23, 2020","10.7711","10.8265","10.8553","10.7612","-0.47%"
"Oct 22, 2020","10.8225","10.8336","10.8659","10.8105","-0.04%"
"Oct 21, 2020","10.8273","10.7945","10.8503","10.7398","0.36%"
"Oct 20, 2020","10.7884","10.8176","10.8287","10.7739","-0.21%"
"Oct 19, 2020","10.8114","10.8374","10.8539","10.7931","-0.19%"
"Oct 16, 2020","10.8320","10.8599","10.9054","10.8197","-0.23%"
"Oct 15, 2020","10.8575","10.9117","10.9254","10.8457","-0.45%"
"Oct 14, 2020","10.9064","10.8896","10.9267","10.8340","0.19%"
"Oct 13, 2020","10.8854","10.9034","10.9354","10.8492","-0.11%"
"Oct 12, 2020","10.8971","10.8193","10.9215","10.8005","0.65%"
"Oct 09, 2020","10.8267","10.8575","10.8818","10.7954","-0.26%"
"Oct 08, 2020","10.8544","10.9222","10.9352","10.8505","-0.59%"
"Oct 07, 2020","10.9186","11.0273","11.0436","10.9065","-0.93%"
"Oct 06, 2020","11.0210","10.9452","11.0515","10.9348","0.72%"
"Oct 05, 2020","10.9420","11.0770","11.0780","10.9378","-1.18%"
"Oct 02, 2020","11.0724","11.0216","11.1263","11.0082","0.49%"
"Oct 01, 2020","11.0180","11.0440","11.0552","10.9937","-0.21%"
"Sep 30, 2020","11.0414","11.0626","11.1018","11.0286","-0.17%"
"Sep 29, 2020","11.0602","11.0644","11.1100","11.0395","0.02%"
"Sep 28, 2020","11.0581","11.1306","11.1547","11.0569","-0.53%"
"Sep 25, 2020","11.1173","11.0952","11.1632","11.0764","0.26%"
"Sep 24, 2020","11.0889","11.1095","11.1631","11.0725","-0.16%"
"Sep 23, 2020","11.1067","11.0892","11.1256","11.0491","0.16%"
"Sep 22, 2020","11.0894","11.1308","11.1522","11.0642","-0.26%"
"Sep 21, 2020","11.1180","11.1542","11.2045","11.0853","-0.16%"
"Sep 18, 2020","11.1359","11.1677","11.1822","11.0656","-0.23%"
"Sep 17, 2020","11.1618","11.1764","11.2239","11.1572","-0.11%"
"Sep 16, 2020","11.1745","11.1937","11.2247","11.1295","-0.14%"
"Sep 15, 2020","11.1900","11.1789","11.2053","11.1357","0.15%"
"Sep 14, 2020","11.1737","11.1901","11.2034","11.1462","-0.11%"
"Sep 11, 2020","11.1865","11.1952","11.2120","11.1610","-0.07%"
"Sep 10, 2020","11.1938","11.1589","11.2080","11.1420","0.34%"
"Sep 09, 2020","11.1562","11.2259","11.2505","11.1440","-0.60%"
"Sep 08, 2020","11.2231","11.1743","11.2386","11.1597","0.46%"
"Sep 07, 2020","11.1712","11.1732","11.1979","11.1496","-0.02%"
"Sep 04, 2020","11.1735","11.2253","11.2473","11.1692","-0.40%"
"Sep 03, 2020","11.2182","11.2034","11.2423","11.1579","0.18%"
"Sep 02, 2020","11.1981","11.1883","11.2207","11.1632","0.10%"
"Sep 01, 2020","11.1867","11.2183","11.2317","11.1641","-0.26%"
"Aug 31, 2020","11.2154","11.2060","11.2529","11.1583","0.11%"
"Aug 28, 2020","11.2032","11.1440","11.2359","11.0637","0.56%"
"Aug 27, 2020","11.1413","11.1783","11.2206","11.1260","-0.29%"
"Aug 26, 2020","11.1735","11.1631","11.1901","11.1291","0.14%"
"Aug 25, 2020","11.1583","11.2190","11.2296","11.1386","-0.49%"
"Aug 24, 2020","11.2138","11.2617","11.2745","11.2086","-0.44%"
"Aug 21, 2020","11.2628","11.2054","11.2823","11.1914","0.56%"
"Aug 20, 2020","11.2005","11.1412","11.2395","11.1355","0.59%"
"Aug 19, 2020","11.1348","11.2268","11.2630","11.1364","-0.75%"
"Aug 18, 2020","11.2189","11.1711","11.2593","11.1592","0.53%"
"Aug 17, 2020","11.1601","11.1328","11.1853","11.1108","0.25%"
"Aug 14, 2020","11.1324","11.0834","11.1528","11.0674","0.47%"
"Aug 13, 2020","11.0802","11.0748","11.1150","11.0625","0.13%"
"Aug 12, 2020","11.0655","11.1383","11.1531","11.0620","-0.60%"
"Aug 11, 2020","11.1326","11.1937","11.2058","11.0986","-0.49%"
"Aug 10, 2020","11.1879","11.2234","11.2389","11.1790","-0.34%"
"Aug 07, 2020","11.2266","11.2174","11.2627","11.2024","0.08%"
"Aug 06, 2020","11.2174","11.2349","11.2622","11.2029","-0.16%"
"Aug 05, 2020","11.2349","11.2875","11.3031","11.2017","-0.47%"
"Aug 04, 2020","11.2875","11.2567","11.3128","11.2273","0.27%"
"Aug 03, 2020","11.2567","11.2801","11.3180","11.2297","-0.20%"
"Jul 31, 2020","11.2794","11.3595","11.4237","11.2537","-0.71%"
"Jul 30, 2020","11.3595","11.3424","11.4014","11.3061","0.15%"
"Jul 29, 2020","11.3424","11.4145","11.4234","11.3355","-0.63%"
"Jul 28, 2020","11.4139","11.3506","11.4281","11.3009","0.56%"
"Jul 27, 2020","11.3506","11.3385","11.3826","11.2943","0.26%"
"Jul 24, 2020","11.3214","11.2473","11.3925","11.2375","0.66%"
"Jul 23, 2020","11.2473","11.1742","11.2723","11.1561","0.65%"
"Jul 22, 2020","11.1748","11.1828","11.2220","11.1525","-0.05%"
"Jul 21, 2020","11.1802","11.1978","11.2145","11.1362","-0.16%"
"Jul 20, 2020","11.1978","11.2408","11.2521","11.1868","-0.48%"
"Jul 17, 2020","11.2513","11.2354","11.2631","11.2066","0.14%"
"Jul 16, 2020","11.2354","11.2311","11.2960","11.2119","0.03%"
"Jul 15, 2020","11.2322","11.2360","11.2641","11.1748","-0.03%"
"Jul 14, 2020","11.2360","11.2207","11.2751","11.2126","0.14%"
"Jul 13, 2020","11.2207","11.2308","11.2533","11.1819","-0.09%"
"Jul 10, 2020","11.2308","11.1664","11.2795","11.1541","0.58%"
"Jul 09, 2020","11.1658","11.1195","11.1809","11.1039","0.40%"
"Jul 08, 2020","11.1211","11.1313","11.1437","11.0870","-0.09%"
"Jul 07, 2020","11.1313","11.1027","11.1369","11.0760","0.26%"
"Jul 06, 2020","11.1027","11.1570","11.1622","11.0751","-0.48%"
"Jul 03, 2020","11.1565","11.1563","11.1858","11.1386","0.01%"
"Jul 02, 2020","11.1558","11.1809","11.2139","11.1257","-0.22%"
"Jul 01, 2020","11.1809","11.1125","11.2149","11.0843","0.62%"
"Jun 30, 2020","11.1125","11.1524","11.1866","11.0934","-0.36%"
"Jun 29, 2020","11.1524","11.2295","11.2514","11.1274","-0.67%"
"Jun 26, 2020","11.2280","11.2124","11.2450","11.1697","0.11%"
"Jun 25, 2020","11.2161","11.2681","11.2965","11.2021","-0.46%"
"Jun 24, 2020","11.2678","11.3449","11.3603","11.2445","-0.68%"
"Jun 23, 2020","11.3444","11.3162","11.3955","11.2654","0.25%"
"Jun 22, 2020","11.3162","11.3371","11.3792","11.3038","-0.20%"
"Jun 19, 2020","11.3392","11.3352","11.3572","11.2801","0.03%"
"Jun 18, 2020","11.3352","11.3596","11.4108","11.2821","-0.21%"
"Jun 17, 2020","11.3596","11.2944","11.3713","11.2750","0.58%"
"Jun 16, 2020","11.2944","11.2605","11.3252","11.1956","0.28%"
"Jun 15, 2020","11.2626","11.2151","11.3595","11.1896","0.44%"
"Jun 12, 2020","11.2130","11.2878","11.3429","11.1660","-0.66%"
"Jun 11, 2020","11.2878","11.1180","11.3129","11.1051","1.53%"
"Jun 10, 2020","11.1180","11.1247","11.1379","11.0576","-0.06%"
"Jun 09, 2020","11.1247","11.0278","11.1454","11.0143","0.87%"
"Jun 08, 2020","11.0288","10.9596","11.0658","10.9396","0.54%"
"Jun 05, 2020","10.9691","11.1470","11.1655","10.9372","-1.60%"
"Jun 04, 2020","11.1470","11.1657","11.2212","11.1216","-0.17%"
"Jun 03, 2020","11.1657","11.2268","11.2382","11.1483","-0.55%"
"Jun 02, 2020","11.2273","11.3677","11.3989","11.1960","-1.24%"
"Jun 01, 2020","11.3677","11.4317","11.4477","11.3588","-0.49%"
"May 29, 2020","11.4232","11.5010","11.5638","11.4021","-0.66%"
"May 28, 2020","11.4988","11.4946","11.5270","11.4564","0.03%"
"May 27, 2020","11.4952","11.4463","11.5097","11.4366","0.43%"
"May 26, 2020","11.4463","11.5218","11.5396","11.4199","-0.65%"
"May 25, 2020","11.5218","11.5319","11.5611","11.4850","-0.05%"
"May 22, 2020","11.5271","11.4595","11.5689","11.4522","0.59%"
"May 21, 2020","11.4595","11.4150","11.4720","11.3962","0.39%"
"May 20, 2020","11.4150","11.3753","11.4504","11.3428","0.35%"
"May 19, 2020","11.3753","11.4143","11.4292","11.3256","-0.36%"
"May 18, 2020","11.4164","11.5160","11.5222","11.4037","-0.91%"
