"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 25, 2021","42,890","42,010","42,920","41,960","7.32M","3.64%"
"Feb 24, 2021","41,385","42,270","42,680","41,350","0.00K","-2.13%"
"Feb 23, 2021","42,285","42,000","42,610","41,740","16.54K","-0.11%"
"Feb 22, 2021","42,330","43,165","43,255","42,290","0.15K","-1.05%"
"Feb 21, 2021","42,780","42,780","42,780","42,780","-","0.00%"
"Feb 19, 2021","42,780","42,440","42,805","41,720","8.69M","0.87%"
"Feb 18, 2021","42,410","42,925","43,120","42,385","1.63K","-1.43%"
"Feb 17, 2021","43,025","43,200","43,225","42,740","1.01K","-1.08%"
"Feb 16, 2021","43,495","43,405","43,865","43,280","0.01K","0.44%"
"Feb 15, 2021","43,305","43,305","43,510","43,145","5.15M","1.46%"
"Feb 10, 2021","42,680","42,525","42,795","42,095","5.07M","0.70%"
"Feb 09, 2021","42,385","42,800","43,145","42,385","2.82K","-0.34%"
"Feb 08, 2021","42,530","42,905","43,090","42,485","0.10K","-0.98%"
"Feb 07, 2021","42,950","42,950","42,950","42,950","-","0.00%"
"Feb 05, 2021","42,950","42,660","43,030","42,385","11.71M","1.27%"
"Feb 04, 2021","42,410","43,030","43,030","42,125","17.20M","-1.67%"
"Feb 03, 2021","43,130","43,115","43,405","42,585","1.17K","0.83%"
"Feb 02, 2021","42,775","42,595","43,400","42,330","0.00K","1.48%"
"Feb 01, 2021","42,150","41,000","42,170","40,705","9.25M","2.49%"
"Jan 31, 2021","41,125","41,125","41,125","41,125","-","0.00%"
"Jan 29, 2021","41,125","42,555","42,620","40,910","12.09M","-2.25%"
"Jan 28, 2021","42,070","42,150","42,645","41,835","0.05K","-1.84%"
"Jan 27, 2021","42,860","43,400","43,800","42,780","0.61K","-0.45%"
"Jan 26, 2021","43,055","44,135","44,190","42,860","0.06K","-2.72%"
"Jan 25, 2021","44,260","43,390","44,320","43,270","0.25K","2.39%"
"Jan 24, 2021","43,225","43,225","43,225","43,225","-","0.00%"
"Jan 22, 2021","43,225","43,675","43,930","43,225","7.87M","-0.70%"
"Jan 21, 2021","43,530","43,300","43,590","43,010","0.00K","1.47%"
"Jan 20, 2021","42,900","43,410","43,495","42,445","8.82M","0.57%"
"Jan 19, 2021","42,655","41,785","42,950","41,590","8.16M","2.63%"
"Jan 18, 2021","41,560","42,140","42,495","41,465","4.25K","-2.33%"
"Jan 17, 2021","42,550","42,550","42,550","42,550","-","0.00%"
"Jan 15, 2021","42,550","43,735","44,185","42,535","10.72M","-2.20%"
"Jan 14, 2021","43,505","43,345","43,695","43,240","1.03K","-0.13%"
"Jan 13, 2021","43,560","43,355","43,880","43,020","8.41K","0.57%"
"Jan 12, 2021","43,315","43,405","43,715","42,135","1.38K","-0.78%"
"Jan 11, 2021","43,655","44,010","45,350","42,945","1.01K","0.25%"
"Jan 10, 2021","43,545","43,545","43,545","43,545","-","0.00%"
"Jan 08, 2021","43,545","42,245","43,785","42,115","11.50M","4.42%"
"Jan 07, 2021","41,700","41,210","42,040","41,190","7.37M","2.33%"
"Jan 06, 2021","40,750","41,270","41,675","40,605","0.11K","-0.97%"
"Jan 05, 2021","41,150","40,325","41,150","40,205","0.01K","1.50%"
"Jan 04, 2021","40,540","39,500","40,615","39,405","1.39K","2.63%"
"Dec 30, 2020","39,500","38,520","39,590","38,440","11.46M","2.11%"
"Dec 29, 2020","38,685","38,395","38,720","38,165","0.03K","1.70%"
"Dec 28, 2020","38,040","38,120","38,370","37,895","5.00K","0.50%"
"Dec 27, 2020","37,850","37,850","37,850","37,850","-","0.00%"
"Dec 24, 2020","37,850","37,180","37,985","37,180","8.71M","1.99%"
"Dec 23, 2020","37,110","36,780","37,155","36,465","0.05K","1.42%"
"Dec 22, 2020","36,590","37,040","37,145","36,590","0.11K","-1.63%"
"Dec 21, 2020","37,195","37,205","37,220","36,740","0.00K","0.12%"
"Dec 20, 2020","37,150","37,150","37,150","37,150","-","0.00%"
"Dec 18, 2020","37,150","37,290","37,315","37,055","5.64M","-0.13%"
"Dec 17, 2020","37,200","37,260","37,270","36,815","6.69M","-0.09%"
"Dec 16, 2020","37,235","37,395","37,450","37,130","0.00K","0.42%"
"Dec 15, 2020","37,080","37,100","37,150","36,710","11.82M","0.00%"
"Dec 14, 2020","37,080","37,315","37,425","37,040","0.42K","-0.39%"
"Dec 13, 2020","37,225","37,225","37,225","37,225","-","0.00%"
"Dec 11, 2020","37,225","37,145","37,400","37,120","9.71M","0.87%"
"Dec 10, 2020","36,905","36,765","37,240","36,575","0.42K","-0.79%"
"Dec 09, 2020","37,200","36,570","37,200","36,540","0.11K","2.31%"
"Dec 08, 2020","36,360","36,900","36,930","36,360","0.00K","-1.60%"
"Dec 07, 2020","36,950","37,070","37,115","36,515","0.16K","0.54%"
"Dec 06, 2020","36,750","36,750","36,750","36,750","-","0.00%"
"Dec 04, 2020","36,750","36,245","36,965","36,235","9.77M","1.79%"
"Dec 03, 2020","36,105","35,970","36,145","35,825","10.58M","0.71%"
"Dec 02, 2020","35,850","35,405","35,900","35,360","6.35M","1.75%"
"Dec 01, 2020","35,235","34,900","35,335","34,890","5.41M","1.59%"
"Nov 30, 2020","34,685","35,330","35,470","34,685","12.90M","-1.52%"
"Nov 29, 2020","35,220","35,220","35,220","35,220","-","0.00%"
"Nov 27, 2020","35,220","35,140","35,270","35,025","7.08M","0.23%"
"Nov 26, 2020","35,140","34,770","35,140","34,695","0.15K","0.99%"
"Nov 25, 2020","34,795","35,225","35,340","34,615","0.40K","-0.59%"
"Nov 24, 2020","35,000","34,935","35,210","34,820","8.70M","0.55%"
"Nov 23, 2020","34,810","34,105","34,850","34,055","0.04K","2.29%"
"Nov 22, 2020","34,030","34,030","34,030","34,030","-","0.00%"
"Nov 20, 2020","34,030","33,925","34,140","33,845","6.32M","0.10%"
"Nov 19, 2020","33,995","33,830","34,000","33,730","2.56K","0.13%"
"Nov 18, 2020","33,950","33,980","34,145","33,875","0.01K","-0.10%"
"Nov 17, 2020","33,985","34,075","34,200","33,900","1.91K","-0.03%"
"Nov 16, 2020","33,995","33,460","34,085","33,420","0.70K","2.13%"
"Nov 13, 2020","33,285","32,815","33,295","32,780","6.86M","1.05%"
"Nov 12, 2020","32,940","33,050","33,135","32,840","0.19K","-0.48%"
"Nov 11, 2020","33,100","32,690","33,155","32,665","0.16K","1.61%"
"Nov 10, 2020","32,575","32,735","32,735","32,350","9.89M","-0.02%"
