"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 25, 2021","14,165","13,800","14,185","13,685","95.65K","4.46%"
"Feb 24, 2021","13,560","13,990","14,220","13,490","89.68K","-2.83%"
"Feb 23, 2021","13,955","14,120","14,300","13,935","82.92K","-2.41%"
"Feb 22, 2021","14,300","14,630","14,660","14,255","68.13K","-1.99%"
"Feb 19, 2021","14,590","14,560","14,605","14,225","117.40K","0.27%"
"Feb 18, 2021","14,550","14,690","14,780","14,550","90.54K","-1.22%"
"Feb 17, 2021","14,730","14,765","14,825","14,580","388.88K","-0.67%"
"Feb 16, 2021","14,830","15,090","15,165","14,775","80.01K","-1.72%"
"Feb 15, 2021","15,090","14,900","15,140","14,860","120.78K","1.51%"
"Feb 10, 2021","14,865","14,755","14,890","14,620","305.16K","0.44%"
"Feb 09, 2021","14,800","14,805","14,950","14,765","57.55K","-0.67%"
"Feb 08, 2021","14,900","14,970","15,080","14,805","39.26K","-0.90%"
"Feb 05, 2021","15,035","15,015","15,100","14,875","167.61K","0.33%"
"Feb 04, 2021","14,985","15,035","15,065","14,810","230.82K","-1.15%"
"Feb 03, 2021","15,160","15,120","15,160","14,860","121.79K","0.43%"
"Feb 02, 2021","15,095","15,145","15,265","14,910","220.91K","0.13%"
"Feb 01, 2021","15,075","14,475","15,075","14,470","378.55K","4.15%"
"Jan 29, 2021","14,475","15,010","15,065","14,355","450.06K","-3.34%"
"Jan 28, 2021","14,975","14,890","15,250","14,860","541.32K","-1.80%"
"Jan 27, 2021","15,250","15,465","15,545","15,200","258.62K","-1.52%"
"Jan 26, 2021","15,485","15,600","15,785","15,340","506.68K","-0.74%"
"Jan 25, 2021","15,600","15,075","15,615","15,075","613.08K","3.17%"
"Jan 22, 2021","15,120","15,165","15,220","14,990","241.93K","-0.30%"
"Jan 21, 2021","15,165","15,270","15,320","15,040","441.41K","-0.13%"
"Jan 20, 2021","15,185","14,875","15,285","14,875","562.79K","2.57%"
"Jan 19, 2021","14,805","14,625","14,955","14,450","722.10K","1.72%"
"Jan 18, 2021","14,555","14,830","15,090","14,520","807.81K","-3.03%"
"Jan 15, 2021","15,010","15,270","15,375","14,925","559.98K","-2.12%"
"Jan 14, 2021","15,335","15,360","15,460","15,265","424.64K","-1.10%"
"Jan 13, 2021","15,505","15,480","15,595","15,365","1.13M","0.16%"
"Jan 12, 2021","15,480","15,430","15,625","15,175","1.10M","-0.39%"
"Jan 11, 2021","15,540","15,625","15,905","15,130","1.88M","0.03%"
"Jan 08, 2021","15,535","15,535","15,570","15,335","351.86K","0.52%"
"Jan 07, 2021","15,455","15,365","15,575","15,290","476.68K","0.59%"
"Jan 06, 2021","15,365","15,495","15,575","15,320","1.09M","-0.74%"
"Jan 05, 2021","15,480","15,325","15,555","15,125","911.38K","0.10%"
"Jan 04, 2021","15,465","15,525","15,545","15,240","995.77K","-0.39%"
"Dec 30, 2020","15,525","15,500","15,675","15,415","1.79M","0.03%"
"Dec 29, 2020","15,520","15,235","15,550","15,160","822.96K","2.99%"
"Dec 28, 2020","15,070","14,985","15,160","14,940","1.55M","1.04%"
"Dec 24, 2020","14,915","14,785","15,035","14,670","870.79K","1.12%"
"Dec 23, 2020","14,750","14,920","15,060","14,660","863.30K","-0.77%"
"Dec 22, 2020","14,865","15,260","15,355","14,865","681.00K","-2.97%"
"Dec 21, 2020","15,320","15,080","15,350","14,975","903.83K","1.63%"
"Dec 18, 2020","15,075","15,060","15,100","14,975","837.72K","0.27%"
"Dec 17, 2020","15,035","14,885","15,185","14,885","557.36K","0.47%"
"Dec 16, 2020","14,965","14,890","15,035","14,765","667.10K","0.94%"
"Dec 15, 2020","14,825","14,915","14,920","14,605","302.74K","0.00%"
"Dec 14, 2020","14,825","14,845","15,055","14,715","488.77K","0.24%"
"Dec 13, 2020","14,790","14,790","14,790","14,790","-","0.00%"
"Dec 11, 2020","14,790","14,720","14,870","14,700","412.72K","0.78%"
