"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 25, 2021","121,525","121,010","121,800","121,010","31.20K","-0.27%"
"Feb 24, 2021","121,850","121,050","121,850","121,050","4.33K","0.44%"
"Feb 23, 2021","121,315","121,275","121,315","121,050","21.64K","0.09%"
"Feb 22, 2021","121,200","121,445","121,530","121,115","5.47K","-0.35%"
"Feb 19, 2021","121,630","121,845","121,845","121,535","24.36K","-0.18%"
"Feb 18, 2021","121,850","121,825","121,975","121,800","8.01K","0.06%"
"Feb 17, 2021","121,775","121,535","121,775","121,335","23.50K","-0.02%"
"Feb 16, 2021","121,800","121,665","121,870","121,635","53.84K","0.14%"
"Feb 15, 2021","121,625","121,790","121,800","121,550","18.50K","-0.25%"
"Feb 10, 2021","121,935","123,000","123,000","121,860","77.27K","-0.16%"
"Feb 09, 2021","122,135","122,060","122,140","121,995","70.81K","0.14%"
"Feb 08, 2021","121,965","122,260","122,300","121,930","57.76K","-0.24%"
"Feb 05, 2021","122,260","122,325","122,500","122,240","4.17K","-0.03%"
"Feb 04, 2021","122,300","122,495","122,495","122,160","4.80K","-0.15%"
"Feb 03, 2021","122,485","122,415","122,550","122,250","6.51K","-0.04%"
"Feb 02, 2021","122,535","122,065","122,600","122,065","15.07K","0.39%"
"Feb 01, 2021","122,065","122,425","122,425","122,040","6.05K","-0.30%"
"Jan 29, 2021","122,435","122,890","122,890","122,240","5.75K","0.04%"
"Jan 28, 2021","122,380","122,380","122,450","122,210","3.60K","0.00%"
"Jan 27, 2021","122,375","122,395","122,500","122,260","5.15K","-0.02%"
"Jan 26, 2021","122,395","122,500","122,500","122,260","12.80K","0.08%"
"Jan 25, 2021","122,295","122,460","122,530","122,155","19.23K","-0.11%"
"Jan 22, 2021","122,425","122,400","122,750","122,380","4.77K","-0.39%"
"Jan 21, 2021","122,910","122,855","122,940","122,775","2.99K","0.01%"
"Jan 20, 2021","122,900","122,775","122,945","122,765","10.68K","0.14%"
"Jan 19, 2021","122,725","122,655","122,835","122,655","5.04K","-0.05%"
"Jan 18, 2021","122,785","122,600","122,785","122,515","4.36K","0.15%"
"Jan 15, 2021","122,600","122,360","122,815","122,350","6.85K","0.11%"
"Jan 14, 2021","122,470","122,755","122,800","122,380","2.51K","-0.09%"
"Jan 13, 2021","122,580","122,730","122,800","122,460","4.72K","-0.02%"
"Jan 12, 2021","122,600","122,650","122,735","122,475","19.79K","-0.15%"
"Jan 11, 2021","122,785","122,350","122,800","122,350","5.88K","0.37%"
"Jan 08, 2021","122,330","122,375","122,410","122,225","6.52K","-0.07%"
"Jan 07, 2021","122,410","122,440","122,555","122,280","21.99K","-0.05%"
"Jan 06, 2021","122,470","122,750","122,915","122,390","9.39K","-0.34%"
"Jan 05, 2021","122,890","122,575","122,890","122,355","6.99K","0.25%"
"Jan 04, 2021","122,580","122,310","122,735","122,310","14.80K","0.07%"
"Dec 30, 2020","122,490","125,005","125,005","122,350","38.40K","-0.23%"
"Dec 29, 2020","122,775","122,930","123,000","122,600","9.84K","-1.92%"
"Dec 28, 2020","125,180","125,265","125,265","125,030","7.14K","-0.02%"
"Dec 24, 2020","125,200","125,545","125,545","125,200","4.74K","-0.29%"
"Dec 23, 2020","125,560","125,440","125,605","125,435","3.45K","0.10%"
"Dec 22, 2020","125,440","125,255","125,550","125,070","6.57K","0.15%"
"Dec 21, 2020","125,255","124,915","125,275","124,845","6.91K","0.27%"
"Dec 18, 2020","124,920","125,470","125,470","124,605","2.81K","0.25%"
"Dec 17, 2020","124,605","125,100","125,100","124,570","4.58K","-0.43%"
"Dec 16, 2020","125,140","125,215","125,365","125,040","2.04K","-0.12%"
"Dec 15, 2020","125,290","125,420","125,500","125,235","2.79K","-0.04%"
"Dec 14, 2020","125,335","125,455","125,500","125,250","4.53K","-0.04%"
"Dec 11, 2020","125,385","125,425","125,450","125,350","1.96K","-0.01%"
"Dec 10, 2020","125,400","125,340","125,470","125,250","2.09K","0.08%"
"Dec 09, 2020","125,300","125,475","125,475","125,275","2.20K","-0.19%"
"Dec 08, 2020","125,535","125,440","125,575","125,300","1.62K","0.11%"
"Dec 07, 2020","125,400","125,095","125,470","125,005","4.62K","0.08%"
"Dec 04, 2020","125,300","125,100","125,410","125,100","8.37K","0.16%"
"Dec 03, 2020","125,100","125,120","125,285","125,050","4.81K","-0.02%"
"Dec 02, 2020","125,120","125,395","125,395","125,000","3.28K","-0.22%"
"Dec 01, 2020","125,400","125,245","125,475","125,180","4.39K","0.10%"
"Nov 30, 2020","125,275","125,400","125,555","125,275","6.18K","-0.10%"
"Nov 27, 2020","125,400","125,365","125,580","125,365","3.25K","0.06%"
"Nov 26, 2020","125,320","125,560","125,560","125,230","1.85K","-0.19%"
"Nov 25, 2020","125,560","125,805","125,825","125,330","4.77K","-0.20%"
"Nov 24, 2020","125,810","125,885","125,970","125,650","2.49K","-0.19%"
"Nov 23, 2020","126,055","125,860","126,170","125,835","2.95K","0.22%"
"Nov 20, 2020","125,780","125,905","125,905","125,635","1.32K","-0.02%"
"Nov 19, 2020","125,800","125,745","125,890","125,695","2.49K","-0.02%"
"Nov 18, 2020","125,820","125,780","125,860","125,690","13.89K","0.22%"
"Nov 17, 2020","125,550","125,510","125,695","125,440","4.93K","0.03%"
"Nov 16, 2020","125,515","125,340","125,630","125,340","3.93K","0.01%"
"Nov 13, 2020","125,500","125,565","125,565","125,300","1.77K","0.16%"
"Nov 12, 2020","125,300","125,310","125,445","125,260","6.49K","0.08%"
"Nov 11, 2020","125,195","125,415","125,500","125,175","4.12K","-0.24%"
"Nov 10, 2020","125,500","125,350","126,700","125,350","4.98K","-0.48%"
"Nov 09, 2020","126,100","125,875","126,105","125,795","7.37K","-0.08%"
