date,ism,china_pmi,
Mar.21,60.8,50.6,
Feb.21,58.7,51.3,
Jan.21,60.7,51.9,
Dec.20,57.5,52.1,
Nov.20,59.3,51.4,
Oct.20,55.4,51.5,
Sep.20,56,51,
Aug.20,54.2,51.1,
Jul.20,52.6,50.9,
Jun.20,43.1,50.6,
May.20,41.5,50.8,
Apr.20,49.1,52,
Mar.20,50.1,35.7,
Feb.20,50.9,50,
Jan.20,47.2,50.2,
Dec.19,48.1,50.2,
Nov.19,48.3,49.3,
Oct.19,47.8,49.8,
Sep.19,49.1,49.5,
Aug.19,51.2,49.7,
Jul.19,51.7,49.4,
Jun.19,52.1,49.4,
May.19,52.8,50.1,
Apr.19,55.3,50.5,
Mar.19,54.2,49.2,
Feb.19,56.6,49.5,
Jan.19,54.3,49.4,
Dec.18,58.8,50,
Nov.18,57.5,50.2,
Oct.18,59.5,50.8,
Sep.18,60.8,51.3,
Aug.18,58.4,51.2,
Jul.18,60,51.5,
Jun.18,58.7,51.9,
May.18,57.9,51.4,
Apr.18,59.3,51.5,
Mar.18,60.7,50.3,
Feb.18,59.1,51.3,
Jan.18,59.7,51.6,
Dec.17,58.2,51.8,
Nov.17,58.7,51.6,
Oct.17,60.8,52.4,
Sep.17,58.8,51.7,
Aug.17,56.3,51.4,
Jul.17,57.8,51.7,
Jun.17,54.9,51.2,
May.17,54.8,51.2,
Apr.17,57.2,51.8,
Mar.17,57.7,51.6,
Feb.17,56,51.3,
Jan.17,54.7,51.4,
Dec.16,53.2,51.7,
Nov.16,51.9,51.2,
Oct.16,51.5,50.4,
Sep.16,49.4,50.4,
Aug.16,52.6,49.9,
Jul.16,53.2,50,
Jun.16,51.3,50.1,
May.16,50.8,50.1,
Apr.16,51.8,50.2,
Mar.16,49.5,49,
Feb.16,48.2,49.4,
Jan.16,48.2,49.7,
Dec.15,48.6,49.6,
Nov.15,50.1,49.8,
Oct.15,50.2,49.8,
Sep.15,51.1,49.7,
Aug.15,52.7,50,
Jul.15,53.5,50.2,
Jun.15,52.8,50.2,
May.15,51.5,50.1,
Apr.15,51.5,50.1,
Mar.15,52.9,49.9,
Feb.15,53.5,49.8,
Jan.15,55.5,50.1,
Dec.14,58.7,50.3,
Nov.14,59,50.8,
Oct.14,56.6,51.1,
Sep.14,59,51.1,
Aug.14,57.1,51.7,
Jul.14,55.3,51,
Jun.14,55.4,50.8,
May.14,54.9,50.4,
Apr.14,53.7,50.3,
Mar.14,53.2,50.2,
Feb.14,51.3,50.5,
Jan.14,57,51,
Dec.13,57.3,51.4,
Nov.13,56.4,51.4,
Oct.13,56.2,51.1,
Sep.13,55.7,51,
Aug.13,55.4,50.3,
Jul.13,50.9,50.1,
Jun.13,49,50.8,
May.13,50.7,50.6,
Apr.13,51.3,50.9,
Mar.13,54.2,50.1,
Feb.13,53.1,50.4,
Jan.13,50.7,50.6,
Dec.12,49.5,50.6,
Nov.12,51.7,50.2,
Oct.12,51.5,49.8,
Sep.12,49.6,49.2,
Aug.12,49.8,50.1,
Jul.12,49.7,50.2,
Jun.12,53.5,50.4,
May.12,54.8,53.3,
Apr.12,53.4,53.1,
Mar.12,52.4,51,
Feb.12,54.1,50.5,
Jan.12,53.9,50.3,
Dec.11,52.7,49,
Nov.11,50.8,50.4,
Oct.11,51.6,51.2,
Sep.11,50.6,50.9,
