"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","44,955","45,155","45,320","44,890","22.98K","-0.84%"
"Feb 23, 2021","45,335","45,175","45,405","45,065","70.23K","0.04%"
"Feb 22, 2021","45,315","45,500","45,610","45,315","42.42K","-0.46%"
"Feb 19, 2021","45,525","45,520","45,595","45,340","57.61K","-0.38%"
"Feb 18, 2021","45,700","45,815","45,875","45,610","121.74K","-0.23%"
"Feb 17, 2021","45,805","45,705","45,820","45,600","146.35K","-0.43%"
"Feb 15, 2021","46,005","45,835","46,025","45,835","46.77K","0.70%"
"Feb 10, 2021","45,685","45,585","45,710","45,535","33.02K","0.24%"
"Feb 09, 2021","45,575","45,540","45,600","45,495","209.44K","0.26%"
"Feb 08, 2021","45,455","45,345","45,480","45,300","130.36K","0.55%"
"Feb 05, 2021","45,205","45,030","45,205","44,975","90.05K","1.49%"
"Feb 04, 2021","44,540","44,690","44,690","44,430","15.14K","-0.41%"
"Feb 03, 2021","44,725","44,655","44,745","44,590","55.44K","1.35%"
"Feb 02, 2021","44,130","43,915","44,200","43,835","80.78K","1.80%"
"Feb 01, 2021","43,350","42,880","43,415","42,860","41.02K","-0.45%"
"Jan 29, 2021","43,545","43,935","44,030","43,425","28.36K","0.20%"
"Jan 28, 2021","43,460","43,215","43,710","43,215","26.74K","-2.85%"
"Jan 27, 2021","44,735","44,810","44,845","44,665","32.06K","0.31%"
"Jan 26, 2021","44,595","44,810","44,835","44,515","45.11K","-0.62%"
"Jan 25, 2021","44,875","44,745","44,885","44,720","37.33K","0.41%"
"Jan 22, 2021","44,690","44,815","44,860","44,650","25.76K","-0.53%"
"Jan 21, 2021","44,930","44,825","44,985","44,810","98.48K","1.53%"
"Jan 20, 2021","44,255","44,345","44,345","44,150","40.49K","0.24%"
"Jan 19, 2021","44,150","43,950","44,265","43,950","38.70K","0.79%"
"Jan 18, 2021","43,805","43,680","43,815","43,640","38.07K","-0.35%"
"Jan 15, 2021","43,960","44,235","44,235","43,890","60.93K","-1.06%"
"Jan 14, 2021","44,430","44,340","44,490","44,340","53.75K","0.30%"
"Jan 13, 2021","44,295","44,265","44,330","44,200","79.03K","0.10%"
"Jan 12, 2021","44,250","44,225","44,335","44,135","73.57K","0.02%"
"Jan 11, 2021","44,240","44,410","44,455","44,165","66.27K","-0.48%"
"Jan 08, 2021","44,455","44,195","44,465","44,195","118.12K","1.37%"
"Jan 07, 2021","43,855","43,660","43,890","43,595","60.45K","1.62%"
"Jan 06, 2021","43,155","43,245","43,490","42,975","72.11K","0.17%"
"Jan 05, 2021","43,080","43,040","43,170","42,950","50.91K","-1.41%"
"Jan 04, 2021","43,695","43,575","43,715","43,565","59.48K","0.43%"
"Dec 30, 2020","43,510","43,390","43,550","43,295","30.27K","-0.33%"
"Dec 29, 2020","43,655","43,520","43,670","43,520","75.62K","0.70%"
"Dec 28, 2020","43,350","43,160","43,370","43,125","46.63K","0.73%"
"Dec 24, 2020","43,035","42,950","43,060","42,915","19.13K","0.43%"
"Dec 23, 2020","42,850","42,925","42,975","42,595","49.64K","0.14%"
"Dec 22, 2020","42,790","42,980","43,000","42,705","79.71K","-0.99%"
"Dec 21, 2020","43,220","43,200","43,250","43,095","91.34K","0.00%"
"Dec 18, 2020","43,220","43,285","43,300","43,125","51.48K","0.05%"
"Dec 17, 2020","43,200","43,090","43,200","43,025","37.43K","0.56%"
"Dec 16, 2020","42,960","42,980","43,010","42,900","46.80K","1.07%"
