"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","2,760","2,755","2,770","2,745","964.04K","-2.13%"
"Feb 23, 2021","2,820","2,775","2,840","2,770","2.01M","4.25%"
"Feb 22, 2021","2,705","2,685","2,715","2,685","492.41K","0.37%"
"Feb 19, 2021","2,695","2,695","2,700","2,640","1.71M","-3.06%"
"Feb 18, 2021","2,780","2,780","2,805","2,775","959.03K","2.58%"
"Feb 17, 2021","2,710","2,710","2,720","2,685","647.21K","-0.91%"
"Feb 15, 2021","2,735","2,715","2,745","2,715","1.10M","3.99%"
"Feb 10, 2021","2,630","2,635","2,635","2,620","414.40K","-0.38%"
"Feb 09, 2021","2,640","2,610","2,640","2,610","971.39K","2.13%"
"Feb 08, 2021","2,585","2,585","2,595","2,580","594.10K","1.37%"
"Feb 05, 2021","2,550","2,540","2,560","2,540","639.69K","0.99%"
"Feb 04, 2021","2,525","2,510","2,535","2,510","1.32M","2.23%"
"Feb 03, 2021","2,470","2,475","2,485","2,470","884.16K","1.23%"
"Feb 02, 2021","2,440","2,415","2,450","2,410","1.38M","3.17%"
"Feb 01, 2021","2,365","2,340","2,370","2,340","502.00K","0.64%"
"Jan 29, 2021","2,350","2,360","2,365","2,345","716.39K","-0.63%"
"Jan 28, 2021","2,365","2,370","2,380","2,355","591.73K","-0.84%"
"Jan 27, 2021","2,385","2,375","2,390","2,375","322.13K","0.85%"
"Jan 26, 2021","2,365","2,380","2,385","2,355","428.43K","0.42%"
"Jan 25, 2021","2,355","2,360","2,365","2,350","441.67K","-0.21%"
"Jan 22, 2021","2,360","2,390","2,400","2,350","657.28K","-1.67%"
"Jan 21, 2021","2,400","2,385","2,400","2,385","304.86K","-0.41%"
"Jan 20, 2021","2,410","2,395","2,410","2,390","764.69K","2.34%"
"Jan 19, 2021","2,355","2,360","2,370","2,355","813.52K","0.00%"
"Jan 18, 2021","2,355","2,360","2,360","2,335","689.42K","-1.88%"
"Jan 15, 2021","2,400","2,430","2,435","2,390","777.47K","0.42%"
"Jan 14, 2021","2,390","2,385","2,390","2,380","1.46M","-1.44%"
"Jan 13, 2021","2,425","2,405","2,435","2,405","1.41M","2.54%"
"Jan 12, 2021","2,365","2,345","2,370","2,345","1.04M","1.50%"
"Jan 11, 2021","2,330","2,345","2,360","2,325","1.79M","0.87%"
"Jan 08, 2021","2,310","2,300","2,310","2,295","1.16M","0.65%"
"Jan 07, 2021","2,295","2,270","2,305","2,265","1.13M","1.77%"
"Jan 06, 2021","2,255","2,245","2,265","2,240","3.00M","5.13%"
"Jan 05, 2021","2,145","2,135","2,160","2,135","902.74K","-3.60%"
"Jan 04, 2021","2,225","2,175","2,245","2,175","1.48M","2.06%"
"Dec 30, 2020","2,180","2,170","2,185","2,165","373.69K","0.46%"
"Dec 29, 2020","2,170","2,160","2,175","2,155","478.10K","0.23%"
"Dec 28, 2020","2,165","2,170","2,180","2,160","527.52K","-0.92%"
"Dec 24, 2020","2,185","2,170","2,195","2,165","1.22M","4.30%"
"Dec 23, 2020","2,095","2,115","2,120","2,085","899.41K","-0.95%"
"Dec 22, 2020","2,115","2,160","2,165","2,115","1.54M","-2.53%"
"Dec 21, 2020","2,170","2,195","2,195","2,145","1.47M","-0.69%"
"Dec 18, 2020","2,185","2,195","2,200","2,180","671.74K","-0.46%"
"Dec 17, 2020","2,195","2,165","2,200","2,165","1.35M","2.09%"
"Dec 16, 2020","2,150","2,155","2,160","2,150","777.87K","1.42%"
"Dec 15, 2020","2,120","2,130","2,135","2,115","690.90K","-0.47%"
"Dec 14, 2020","2,130","2,125","2,130","2,110","427.92K","0.24%"
"Dec 11, 2020","2,125","2,130","2,145","2,115","1.89M","2.66%"
"Dec 10, 2020","2,070","2,070","2,080","2,065","605.43K","0.49%"
"Dec 09, 2020","2,060","2,065","2,080","2,060","857.80K","0.00%"
"Dec 08, 2020","2,060","2,070","2,075","2,050","849.86K","-1.20%"
"Dec 07, 2020","2,085","2,095","2,095","2,080","1.45M","0.00%"
"Dec 04, 2020","2,085","2,060","2,100","2,060","2.07M","1.21%"
"Dec 03, 2020","2,060","2,050","2,065","2,050","901.24K","1.48%"
"Dec 02, 2020","2,030","2,035","2,040","2,020","379.86K","-1.22%"
"Dec 01, 2020","2,055","2,075","2,080","2,055","516.20K","0.24%"
"Nov 30, 2020","2,050","2,070","2,080","2,050","477.58K","-0.49%"
"Nov 27, 2020","2,060","2,075","2,075","2,055","791.56K","-1.44%"
"Nov 26, 2020","2,090","2,085","2,095","2,080","1.16M","1.21%"
"Nov 25, 2020","2,065","2,055","2,090","2,050","3.18M","2.48%"
"Nov 24, 2020","2,015","2,000","2,020","1,990","1.14M","1.00%"
"Nov 23, 2020","1,995","1,990","2,005","1,980","2.85M","1.27%"
"Nov 20, 2020","1,970","1,970","1,980","1,965","737.15K","0.00%"
"Nov 19, 2020","1,970","1,975","1,980","1,960","1.97M","0.25%"
"Nov 18, 2020","1,965","1,970","1,970","1,955","949.05K","-0.76%"
"Nov 17, 2020","1,980","1,970","1,980","1,960","924.63K","1.28%"
"Nov 16, 2020","1,955","1,945","1,955","1,940","1.28M","0.00%"
"Nov 13, 2020","1,955","1,955","1,960","1,940","1.78M","-0.76%"
"Nov 12, 2020","1,970","1,990","2,000","1,970","1.30M","-1.01%"
"Nov 11, 2020","1,990","1,975","1,995","1,970","4.17M","3.38%"
"Nov 10, 2020","1,925","1,935","1,935","1,915","2.67M","1.58%"
"Nov 09, 2020","1,895","1,870","1,900","1,870","638.79K","1.61%"
"Nov 06, 2020","1,865","1,890","1,895","1,850","994.98K","-1.32%"
"Nov 05, 2020","1,890","1,910","1,915","1,885","2.34M","-0.53%"
"Nov 04, 2020","1,900","1,890","1,905","1,870","2.40M","3.54%"
"Nov 03, 2020","1,835","1,840","1,850","1,830","2.88M","5.16%"
"Nov 02, 2020","1,745","1,745","1,765","1,735","3.13M","-1.13%"
"Oct 30, 2020","1,765","1,790","1,805","1,755","2.47M","-4.34%"
"Oct 29, 2020","1,845","1,845","1,850","1,830","1.97M","-2.12%"
"Oct 28, 2020","1,885","1,885","1,890","1,875","312.60K","0.00%"
"Oct 27, 2020","1,885","1,875","1,885","1,870","1.29M","0.00%"
"Oct 26, 2020","1,885","1,895","1,905","1,880","1.45M","-2.84%"
"Oct 23, 2020","1,940","1,945","1,955","1,935","573.60K","0.52%"
"Oct 22, 2020","1,930","1,925","1,930","1,915","1.01M","-2.28%"
"Oct 21, 2020","1,975","1,980","1,985","1,975","1.09M","0.51%"
"Oct 20, 2020","1,965","1,960","1,965","1,950","1.18M","0.00%"
"Oct 19, 2020","1,965","1,975","1,980","1,960","606.12K","0.51%"
"Oct 16, 2020","1,955","1,970","1,975","1,955","501.96K","-1.01%"
"Oct 15, 2020","1,975","1,980","1,985","1,970","2.37M","1.54%"
"Oct 14, 2020","1,945","1,955","1,960","1,945","615.82K","-0.77%"
"Oct 13, 2020","1,960","1,950","1,960","1,935","494.76K","0.00%"
"Oct 12, 2020","1,960","1,960","1,965","1,945","969.12K","-0.25%"
"Oct 08, 2020","1,965","1,960","1,965","1,950","1.75M","0.00%"
"Oct 07, 2020","1,965","1,950","1,965","1,945","1.32M","0.77%"
"Oct 06, 2020","1,950","1,940","1,950","1,930","1.55M","2.90%"
"Oct 05, 2020","1,895","1,925","1,930","1,870","2.90M","-3.81%"
"Sep 29, 2020","1,970","1,980","1,985","1,970","853.59K","0.51%"
"Sep 28, 2020","1,960","1,970","1,970","1,950","319.11K","-1.01%"
"Sep 25, 2020","1,980","1,970","1,990","1,970","855.14K","1.80%"
"Sep 24, 2020","1,945","1,940","1,955","1,935","1.05M","0.52%"
"Sep 23, 2020","1,935","1,960","1,965","1,935","1.03M","-0.51%"
"Sep 22, 2020","1,945","1,965","1,965","1,940","1.15M","-2.99%"
